text,label
"I attempted to top-up with my card this morning, but the transaction was unsuccessful. I received the card two days ago and was successful using it previously. Could you please help me?",59
Are there any ATM's near me that accept this card?,3
I received my salary in GBP. How do I change this to my currency?,50
"I tried to get money out of an ATM in Notting Hill earlier, but it didn't work. Is my card actually working? It's the first time I tried using it",26
Help me.  My phone has been lost or stolen!,42
"What is the reason when I tried to pay contactless at the bus, it didnt work?",23
"Please help, the atm swallowed my card, what do I do?",18
Are there virtual disposable cards?,37
I was charged and shouldn't have been charged when using my card!,15
Which ATMs accept this placard ?,3
I looked at my statement and found a payment I and found a mistake.,16
Asked for $100 but only got $20. Why would this happen?,75
I am looking to delete my account. I'm not happy with the service provided by you.,55
When do I receive my PIN,38
What do I do if the ATM took my card?,18
How do I exchange currency?,33
What are the additional charges for a SWIFT transfer?,56
Why do I have to pay extra for using my card?,15
How old do I have to be to open an account?,1
"I have a card that expires in the coming month, do I have to specifically ask for the updated card?",9
My identity has been stolen. I still have my physical card but there are charges I didn't make on my account. How do I cancel this card or dispute the charges?,20
"i am express delivering my card to the us, how long will that take",12
Why has my top-up not worked?,59
How do I go about cancelling a transaction?,8
Will I be able to track the card that was sent to me?,11
Where can I find my PIN? I haven't gotten it yet.,38
There is some odd 1£ charge that appears as pending on my statement. What's that about? Pretty sure I haven't purchased anything for a pound there.,34
The top-up is broken.,47
Can I add money to my account with cash?,58
There's a direct debit on my account that I didn't authorize,28
I was double charged at a restaurant can you take the second charge off?,63
May I have a second card?,39
"I need to verify a payment to my new landlord. I transferred the first rent payment a few days ago. While it shows on my side, the landlord is saying he hasn't received it yet. Can you verify that it has processed?",66
app does not recognize me,68
The exchange rate applied is wrong for my international purchase.,17
In what way can I use the disposable cards?,37
"The exchange rate given to me wasn't correct, after i purchased an item",17
I have a card payment which shows as pending,45
What do I need to do to transfer my paycheck to my account?,50
Why can't I use a disposable card?,29
"When I tried to top up using my card, all of the money disappeared.",62
"I need to activate my card, how is that done?",0
What is the process for unlocking the pin?,49
"I do not remember the code, what should I do?",44
What's the normal time frame for a transfer from a UK account? After just making a transfer it doesn't appear at all. I need to know if things went okay.,5
I lost my wallet and I think someone is withdrawing cash with my card. Please help. It is urgent.,20
I was just needing to know why my card got declined,25
How do I make my transfer go through,27
I believe that my transfer hasn't gone through.,35
Why is the exchange rate wrong for my cash withdrawal?,76
how many days processing new card?,23
How can I activate the new card i got?,0
How do I exchange currencies with this,33
I noticed a charge for a transfer.  Why is this?  Is it because I did an international transfer?,64
What is the transfer fee charge?,64
I want information about the source of funds.,70
What should I do if I lost my card?,41
"I would like to track a card sent to me, how do I do that?",11
Is there a limit to top-up amounts?,60
Do you know why my contactless won't work?,23
I don't know why my credit card was declined while I was trying to top-up. Was it something on my end or was there something wrong with the top-up function?,59
I have two of the same charges on my account!,63
What fees to you have for top ups?,57
I was charged more than once in a single transaction,63
Is my card valid everywhere?,10
Why would the ATM machine fail to give me the cash withdrawal I requested?,26
Should my top-up be completed by now?,47
What are your currency exchange fees?,31
I transferred some money but I think it has gotten lost somewhere.,5
"Cash withdrawal has been pending, why is it so?",46
Why should I have to prove my identity?,74
Do I need to order a new card if mine is expiring?,9
How can I create many temporary cards daily?,29
Can you tell me why my transfer declined?,27
How old do you have to be to get an account?,1
I believe my credit card was stolen.,41
The ATM didn't give me the amount I asked for,75
What will I be charged for a physical card?,43
"On my app I can see that a direct debit payment that I didn't do, appears.",28
My salary is received in the form of GBP. Do I need to do anything specific to configure this?,50
How can I tell if an AMT will take this card?,3
Where are the virtual cards located?,40
I forgot my PIN and now it is blocked.,49
why was i charged a small amount,34
Are bank transfers immediate?,5
What happens when my card expires?,9
I need to get hold of a physical card?,43
I would like a second card.,39
Why do I have a strange payment on my statement?,16
How can I get my card to work?,14
I wanted to use my contactless at the metro today but it didn't accept it!,23
My card payment wasn't accepted.,25
How do I get money from friends?,50
can you express my card to me?,12
"It appears my card expires next month, can I order a new one?",9
Do you offer services for children to have money saving experience?,1
"Hi, I used an ATM today to take money out of my account, but the amount it gave me is not the amount I requested. What should I do?",75
What transfer methods do you accept?,65
Where is my refund? it appears to be missing.,51
Why can't my ID be verified?,68
"I've got a weird problem: I purchased something a week or maybe it was two weeks ago, and the funds have come back into my account! Can you explain this?",53
Can I have a card even if I am not living in the UK?,24
What is the maximum I can top up?,60
Where do I go to reset the passcode?,44
I am trying  to  transfer and  it has been  stopped why is  that,7
How did you come up with your exchange rates?,32
Can I exchange USD and GBP from the app?,33
When will my cheque process?,6
The app failed to verify me.,68
Which cash machines will allow me to change my PIN?,21
"When I received my cash, the exchange rate was wrong.",76
"I've already topped up, but I cannot see the funds being available. What happened?",47
What is the process for activating my new card?,0
"Hi! A seller that I requested a refund from a long time ago has yet to send the money into my account, even though I keep checking it. Can the seller be contacted by you guys to see what's going on?",51
Is there any way to Auto top-up?,4
Please explain to me how to know where my funds are from.,70
how do VR cards work,37
I can't use my virtual disposable card,72
Are there any limits to were my card is accepted?,10
What are the ways for others to transfer me money?,50
"I had a problem with my card payment, can you help?",25
The application reverted my top-up.,61
My top-up appears to be pending.,47
Where is the transfer to my account that I made?,5
Where do I order a virtual card from?,40
I don't understand why I was charged extra for withdrawing money?,19
Where can I get my card at?,43
I won't verify my identity.,74
Why won't you accept my payment? I keep trying with this card and it's not working.,25
how old do i need to be to get an account for myself,1
The card got declined twice when I tried to use it to buy something online yesterday.,27
Why can't I take cash out of the ATM?,26
What time will a transfer from the US take?,67
Why do I see extra charges for withdrawing my money?,19
Could you please help me figure out why the seller has not received their money after I sent it.,48
I left my card at a restaurant and now its missing.,41
Can I change my PIN remotely?,21
"I thought transfers were free, why was I charged?",64
I think someone is using my card without my permission!,22
"So, I tried topping up my card for the today. Unfortunately, it failed. A couple of days back I used it and it works fine. Can you double check and tell me what's going on?",59
Is it possible to get a card when i'm not in the UK?,24
I only have one other credit card from the US. Do you accept that?,54
I need urgent help. I realize I sent my payment to the wrong account number. I made a typo. Please cancel the transfer now. There isn't an option from the app.,8
My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,11
Why can't I withdraw funds from my account?,26
Why do I have to give you my drivers license,74
Why can't I get my virtual card to work?,72
What can I do to make my physical card work?,14
I am still waiting for my card after 1 week.  Is this ok?,11
"What currencies can I not hold many in, if so what are they?",36
I want to set up an auto top-up,4
What do I do if I can't get my card out of the ATM?,18
This stupid system is not letting me prove my identity.,68
Am I allowed to transfer money to a beneficiary?,7
How many active transactions can I make with a disposable card?,29
I notice there's a pending payment on my card.,45
What do you need my identity details for?,74
Why would my card payment get reverted?,53
I would like to delete my account. I'm not happy with the service you're providing,55
My card is missing.  Please help.,41
There is a  €1 fee on my account I didn't authorize,34
Is there a reason my transfer failed?,35
"My wallet was stolen, along with my cards. How do I put a freeze on my cards and order a new one?",41
Why was my atm withdrawl declined,26
I was mugged and everything taken.  What do I do to protect my account?,42
How do I update my address?,30
What is the purpose for verifying my identity?,74
"My wallet was just stolen, and they've already used my card! Please help, I can't afford to lose more money!",20
Please assist me with activation.,0
I'm confused. My contactless is suddenly not working anywhere that I try to use it. How do I fix it?,23
Please help me figure out the reason for the odd withdrawal amount from my account?,20
virtual card is not working for me,72
How many active cards can I have?,39
I could not get my card to work at a shop.,25
Why couldn't I transfer to a beneficiairy?,7
Can I be charged for exchanging foreign currency?,31
How do I to up by card?,62
I tried to transfer funds to a beneficiary and was denied. Can you tell me why?,7
Can I get some help activating my new card?,0
Can I use American express with apple pay? Why does it make my top up not work?,2
why have I got a pending transfer? I'm confused!!,48
"I need to use my disposable card multiple times a day, is there a cutoff limit?",29
"I have an unknown debit charge in my statement, why?",28
Can I change my PIN without going to a bank?,21
how can i transfer money from american express card,54
What is the time frame for a transfer from the US?,67
Why is my card payment showing as pending?,45
The app is showing mt withdrawals that aren't  mine.,20
Please send my card as quickly as possible.,12
There is a Direct Debit that I don't recognize.,28
Help me create several temp cards every day.,29
where to i get my funds from?,70
How do I get my card back quickly from a bank machine that it?,18
"I just saw the exchange rate you use, but it's so bad that I can't believe that it's the official interbank exchange rate! Is this truly the official interbank exchange rate?",17
"I got my card now, how do I make it show up in the app?",13
How can I top up my Google Pay?,2
Can you look into my top up please.  I made it over three hours ago and yet it's still pending.,47
Do I have to use a bank approved ATM to withdraw money?,3
I believe my top up is still pending,47
My transfer will not go through.,35
Why did the ATM give me less money than what I requested?,75
I did a transfer and was charged a fee that I shouldn't have been!,64
What is this witdrawal,20
I could not do a transfer because it was declined,27
My card information seems to have been stolen! I don't know where these transactions came from and I've never even been to the city where they were made. I need my card blocked ASAP so this person can't keep using my card.,22
Will I be charged a fee for topping up using a European card?,57
Is there a place to check for fee for payments? I feel like I'm getting charged too much at times.,15
Am I getting charged for making a payment?,15
"I'm not in the UK, can I still get a card?",24
"If I want to top up, can I use Apple Pay?",2
Why was the wrong rate applied when I bought something in a different currency?,17
I am being charged the wrong amount on my card.,17
What do I do if my card is expiring soon?,9
I believe my top up was reverted.,61
There is a €1 extra fee in my statement,34
What is the procedure for activating this card?,0
I need you to cancel a transfer that I made.  It is the wrong account number and the app won't let me stop the transaction.  Please stop it!,8
My statement has not shown my refund.,51
How is my card payment still pending?,45
Does it cost anyting to get my own card?,43
Where can the pin be located?,38
I can't use the app.  My phone is lost at the hotel.,42
Can I use my card while on vacation overseas?,10
Where do i verify a top-up card?,71
I would like to not have to do the identity verification.,74
Help me find my card pin!,38
"My card is expiring, how do I get a new one?",9
Is there a top-up limit?,60
What are these disposable cards meant for?,37
What age do you have to be?,1
"When I topped up, the app reverted my funds.",61
"Will you accept my credit card, it my only one.",54
Why is the check I deposited this morning not showing up?,6
Hello. I checked my transactions and saw I was double charged for a restaurant visit. Can I get my money back?,63
How many disposable virtual cards can I have?,29
Is there a fee to add money to an international card?,57
Are there any fees for top ups?,57
Do I pay extra for exchange?,31
My product was faulty.,52
"Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket.",13
It is extremely important that I cancel the transfer I made yesterday and put the money into a different account.  Is this possible?,8
Am I the only one who can top-up my account?,62
Why did I get charged more for using my card?,15
What if my top up is reverted?,61
Where did this extra €1 fee on my statement come from?,34
Where is my last money transaction,66
Can you tell me how I go about activating a new card?,0
Which merchants accept this card?,10
Get an item refund,52
Something is wrong with my payment account since it has been declined,25
I am still waiting for a money transfer to appear.,48
What would be a reason my transfer got declined?,27
Which forms of currency are accepted?,54
I still haven't received my card in the mail,11
I think the rate that was applied to my purchase using foreign currency is wrong. Help!,17
Will I be charged for topping up by transfer?,56
Why isn't my id verified?,68
The money disappeared when I tried to use my card to top up.,62
I have to quickly transfer something to China. How long will it take to arrive there?,67
Someone else may be using my card.  There are transactions I don't recognize.,22
About this card PIN?,38
can i get a virtual card online,37
"I received my Virtual card information, but was unable to use it to make a purchase. Why did this happen and what can I do?",72
What can I do if contactless doesn't work?,23
My preference is Mastercard.,73
I got charged a fee that shouldn't be there from my cash,19
I think that there was an error in calculating the exchange rate.  I recently withdrew cash and received much less than expected.,76
are there age requirements,1
"I was suppose to be getting a refund for something I purchased a while ago, but It still hasnt been applied to my account. When will I get my money back?",51
I just lost my wallet and I think someone is using my card to withdraw my money. Can you please cancel or freeze my card?!!,20
Which foreign currencies do you accept for adding money?,54
After taking over my card transactions I noticed that was charged twice for a restaurant purchased from earlier this week. Can you please remove one of these transactions from my account since it is not accurate?,63
What do i do to get a physical card?,43
I need a second card on this account for my daughter.,39
Why am I being charged for transferring money?,64
Why am i being double charged for something?,63
Is there a reason behind why my transfer did not work?,35
Can I have it delivered on a specific date?,12
My card is about to expire. What do I need to do?,9
Can I change my PIN in Austria?,21
"I got a message saying I made a withdrawal from the bank machine, but I did not.",20
How do I report a stolen card?,41
Can I add money in intervals to my account?  I will be traveling.,4
What's the deal with verifying the top-up?,71
What is the wait time for delivery to the US?,12
I believe that the rate of exchange for my cash withdrawl is incorrect.,76
I have a payment that has not gone through yet,45
What is this extra fee while I was doing a transfer?,64
I have young kids. Can they use this service?,1
"I was supposed to receive my new card by now, but it hasn't came in.",11
What was the extra charge for withdrawing money?,19
How do I protect my phone from someone using it after I lost it.,42
I'd like to have it delivered on Saturday.  Is that possible?,12
Can you please tell me why my cash withdrawal is still pending?,46
"Hello, I see that I have been charged an extra $1 on my app.  Could you please provide me with a reason for this charge?",34
"I want to transfer money into my account, what do I do?",65
What ID do I need to verify my identity?,69
Why do I need to verify my account?,74
Someone took my card without permission,41
"lost my phone, dont want others to use it.",42
Why won't the machine accept my card anymore?,14
Why can't I see my topup in my wallet anymore?,62
Help! I lost my card!,41
How can I deposit money to my account?,65
I think that my card has been stolen!,41
Is there a disposable virtual card?,37
I'm unable to verify my identity,68
Why was I charged when taking out money?,19
My wallet is empty even though I topped it up an hour ago.,62
I was removing a dollar amount from my account and now don't have access to my card.,18
Can I add to my account using a cheque?,58
My topping up didn't go through.,59
I would like to create a disposable virtual card. How do I go about doing that?,37
what are you going to use my identification details for?,74
Where can virtual cards be ordered?,40
Is there such thing as an auto top-up option?,4
Why is my card payment pending?,45
I am not being recognized by the app.,68
Unusual direct deposit,28
I think the exchange rate is wrong for my ATM withdrawal,76
How come there is a duplicate charge on my card?,63
the transfer went through but now it has been pending for quite a while. i need this to go through already,48
How can I tell if there is a top-up limit?,60
What are the steps to get my card back that was kept by the ATM?,18
"I cannot find my phone, what should I do?",42
This card is accepted by what businesses?,10
Are there fees for adding money using an international card,57
Are currency exchanges free?,31
What are the reasons for a declined transfer?,27
"My order hasn't shown up yet, what can I do?",52
Can you issue both a Visa and a Mastercard to me?,73
Why am I being charged for transfers? Are they not free?,64
Why was I unable to complete my transfer?,35
I am in the EU. Can I get one of your cards?,24
I would like to dispute a payment I didnt make,28
I got double charged for a payment so how do I fix that?,63
Is my child too young to sign up?,1
what is the most money i can top up?,60
"I want to block my card or deactivate it or something, it's been stolen and I don't want it misused. I want this handled right away.",41
"When I tried to access my cash, I wasn't allowed!",26
I need a new Pin how do I go about that?,21
"A 500 pound cash withdrawal was just made from my account, but I didn't make it. I am pretty sure my card has been compromised - can you help me?",20
How many top-ups can be approved?,60
Why did I get charged extra?,15
Why would a merchant revert a card payment?,53
The exchange rate for my withdrawal was wrong.,76
Are there ways to transfer money into my account?,65
Do i have to top-up with my credit card before I can transfer?,62
is it free to add money to my card,57
did not receive correct cash upon withdrawal,75
I'm a new customer and tried topping up today for the first time. It's still pending and doesn't seem to be working. I need to get this fixed.,47
How long is it going to take for my funds to show in my account?,67
My transfer didn't work,35
I made a cash withdrawal and was charged a fee incorrectly can you help with this?,19
I'm unable to use contactless payments for purchases.,23
"Suddenly, my card won't work.",14
Why is the cash transaction still showing as not completed?,46
Hey there's a fee for a transfer on my account.  Why?!,64
Can I choose between Visa and Mastercard?,73
Is it possible to change my address?,30
"When topping up by transfer, will I be charged?",56
"I am getting an error stating my transfer is not possible while transferring money. Let me know the issue as its the first time i am getting error, earlier it used to work.",7
I purchased something in a foreign currency but the rate applied is wrong,17
"Soon my card will expire, how do I get a new one?",9
I need to know what your exchange rates are.,32
Please check the exchange rate for my payment last Saturday. I believe I have been overcharged.,17
"I'm concerned about a payment that has recently been made on my card.  I do not recognize the name that the transaction went to, can you help me?",16
Visa and Mastercard can both be received from you?,73
How can I cancel a transfer I made,8
I'm looking to get an additional card.,39
My phone is missing.,42
How many disposable cards can I make in a single day?,29
"I am having issues using contactless payments, could my card be damaged?",23
Is there a fee to top up by bank transfers?,56
Can I use this app to exchange currencies?,33
Why isn't my PIN available yet?,38
How do I go forth on holding money in multiple currencies?,36
"I have moved to a new house and set up a rent payment to my landlord, it was supposed to be in her account a few days ago but it hasn't arrived.  I definitely sent it to the right place, can you confirm where the money is?",66
Can I possibly change my currency to another?,33
I can't see all the refunds in my statement,51
Have you started charging for cash withdrawals? I always thought it was free until I noticed this fee. How much is the fee?,19
My card payment wasn't declined,25
Why does my identity need to be verified?,74
what is the correct exchange rate for getting cash,76
"Hearing about your verification results from us may take anywhere from 10 minutes to approximately one hour.  If this verification has in fact, failed, double-check to make sure that your images are clear.  Also make sure that your document photos have no blur or glare. They need to be readable.  You must also be 18 years of age or older and be a resident of Switzerland or the European Economic Area to open an account.",68
How long will it take to get to me?,12
I have been charged way to much so something is apparently wrong with my exchange. I changed Russian Ruble into UK pounds.,17
I would love one of the virtual cards!,40
when will I get my refund?,51
Why wouldn't the ATM give me my money?,26
Is there a fee for topping off by transfer?,56
I wasn't applied the correct exchange rate for an item I bought,17
How to activate Google Pay for top up?,2
Why didn't the money I transferred into my account get added to my balance?,5
I need information explaining why my top-up failed to go through,59
There's an error in regards to the exchange rate for an item I bought.,17
I don't have my card in 1 week.  Should I be worried?,11
I have an American Express that I'd like to add money to my account with.,54
What is the closest ATM?,3
I think you reverted my top up.,61
How many transactions can I make on my disposable card?,29
I've just moved and I need to change my details,30
Where is the refund on my statement?,51
Why am I unable to withdraw money even though in the past I've done it just fine?,26
Do I get to choose between Visa and Mastercard?,73
What do I do if I can't prove my identity?,68
I am not recognizing a debit payment from my account.,28
Why isn't my transfer not going through? I keep getting an error message.,7
Are both Visa and Mastercard accepted?,73
How do I change my account details?,30
Can it automatically top up my account?,4
What should I do if someone stole my phone?,42
"Hi, i just topped up my phone and the money was deducted but it seems to have deducted the same amount again! please help!",61
I can't get my card to work.,14
Is there an age limit to get an account?,1
Would I be able to refund an item?,52
I can't remember my passcode.,44
I can see an extra 1£ charge on my app. Why did you charge me extra?,34
Can you tell me more about limits to disposable virtual cards?,29
"I've been waiting since Friday, where is my money?",66
How can people transfer money to me?,50
has my top-up has been cancelled,61
I didn't receive the correct amount of cash when I exchanged it overseas.,76
I lost my passcode.,44
How limited is a virtual card?,29
Where do I go to add a new card?,13
Should I be seeing a fee applied for my money transfer?,64
Is it possible to get one the your cards in the EU?,24
The app reversed a top off I had.  What should I do?,61
"I got my American Express in Apple Pay, why is top up not working in my country?",2
My purchases from this morning are showing up as payment pending. Can you tell me why?,45
No refund showing in my statement.,51
Where Is the top up verification code found?,71
There is a charge for 1£ on my statement.  I do not think that I bought anything that costed 1£.  What is going on?,34
How long does it take to show a deposit I made to my balance?,6
My cash withdrawal shows as pending still.,46
I need to know why my credit card was declined for top up? What is the deal here and why did it not go through?,59
Can you tell me why a refund I'm owed is not showing on my statement?,51
"If I need to transfer something quick from China, how long does that take?",67
Where is my money? I transfered it and it isn't in my account.,5
"Help me!  When I was abroad, the exchange rate was wrong.",76
I noticed that my card was charged more than once for one thing.,63
"It says that my payment is pending, what does that mean?",45
What's the transfer time from Europe?,67
Do you have the best exchange rate?,32
What is the limit on Auto top?,4
"I want a refund, but I haven't received the item yet. Can I cancel it and get my funds back? How do I do that.",52
There is a payment that I was charged two times for.,63
Can I do a SWIFT transfer?,56
"When I got cash, my exchange rate was wrong.",76
Why wasn't my contactless accepted at the metro?,23
The exchange rate would be?,32
There's a debit on my account that I didn't do.,28
What is the length of time for money to reach the account?,67
"I tempted to get some money out of the machine earlier and it did not work.Looking now, the transaction actually shows to still be in progress. I would certainly appreciate someone look into this and let me know what's going on. I definitely do not want to be charged for money I never received.",46
I can't find the top-up card verification code.,71
My card stopped working after multiple transactions. Why?,14
How long will it be  before the person I sent money to is able to see it?,66
"Would I be able to get another card for my account, so I could give one to my daughter?",39
Would like to use my card and need to activate it first.  Can you help me do this?,0
How much do you charge for exchange rates?,31
Is there a charge for using transfers for top ups?,56
How do I add a card on to the app?,13
Who accepts the card?,10
I am reluctant to use ATMs international because I don't get an accurate exchange rate,76
I would like to know why my purchases from this morning are still pending.,45
How old do I need to be?,1
Help! I've forgot my app passcode!,44
I have to make more then a few disposable cards per day.,29
Why did my credit card get declined for top up?,59
Can you delete the account?,55
If I exchange currencies on a frequent basis can I receive a discount?,31
There is a payment in my app that I did not make.  I have not used that card all day  Please reimburse my money.,28
When will it get delivered?,12
There was a charge applied when I used my card.,15
How much would I be charged for a transfer?,56
can I be charged for topping up by card,57
How much does currency exchange cost?,31
How long do I have to wait for a US transfer?,67
"I tried to access money earlier but the machine seems not to be working. After looking, the transaction actually shows to still being process. Can you find out what is going on here? I don't want to be charged for some money I never got.",46
I need to know where this charge is coming from?,16
I made the incorrect payment for my rent yesterday and this needs to be fixed by no later than tomorrow. How can you help?,8
How's the exchange rate looking right now?,32
How does it work when I transfer money into my account?,65
My statement is showing I was Charged a dollar and I am not sure why.,34
Will I be charged if I add more cards to the account?,39
Can I use your app to exchange USD for GBP?,33
Can you provide information for freezing my card immediately?,41
Am I able to top up with this cheque I received?,58
Do you support countries other than mine?,24
"Hey, I have my card, how do I get it to show in the app?",13
What do I need to do for a PIN?,38
Why has my top up been cancelled,61
Can I purchase with cash or cheque?,58
Why can't my beneficiary access my account?,7
"I tried topping off my account with a card, but the money is not in my account despite the charge going through",62
Where are the options to top up with a cheque on my account?,58
Why is it necessary to verify the top up?,71
Is my card ready for use or does it need activated and if so how?,0
Do you know where my card will be accepted?,10
Can you please help me in canceling my order.,52
I want a virtual card!,40
What  is the verification process for a top up card?,71
How do I receive a virtual card?,40
I am experiencing difficulty providing my identity.,68
"I received a refund, however I cannot see it in my account",51
Please verify my top-up card,71
"Show me how to link the new card,",13
How do I get my refund back?,52
How long is the transfer?,67
I need a new card because the ATM took mine.,18
I entered a typo when I was transferring money and now I've sent it to an incorrect account.  This is so bad!  I need it cancelled now.,8
This isn't fair! I thought transfers could be made for free. I just made  a purchase online from abroad and now see some strange fee that I've never seen before.,64
Why is my exchange rate wrong for an item I bought?,17
How can my friend pay me?,50
Am I charged for receiving money?,56
It seems like my card payment didn't work.,25
Show me the amount of transactions I can do with a disposable card.,29
Is topping up with Apple Pay possible?,2
Is there a tracking number for the card you sent me?,11
Where do i find my PIN?,38
where can i see money source?,70
How can I exchange to EUR?,36
What options do I have for holding currencies?,36
I was getting cash and can't get my card back.,18
Changing my PIN,21
What ATMs can I use my card at?,3
"I didn't want to make a transaction, I want to revert it",8
My statement has a payment that I do not recall making,16
Do exchanges cost more?,31
there is a debit i dont recognize,28
How long does it take for the transfer to go through?,66
What documents do you need to verify my identity?,69
How do I unblock my pin after entering it wrong too many times?,49
please delete account,55
"Hello, can you please inform me about international transfers? I am expecting a transfer I made from France two days ago and would like to know when it will arrive.",5
my phone has been stolen by someone,42
I withdrew cash and I think the exchange rate is wrong.,76
I am so angry right now!  I went to the ATM and did not get the correct amount of money I chose to withdraw.  How could this happen?  I need my money and want to know how I can get it ASAP!,75
How is this transfer supposed to work? It's not working for me.,35
Why has my top-up been returned to my account?,61
My transfer got declined.,27
When will my funds transfer?,66
Is there a reason my top up hasn't gone through,47
My transaction is on the wrong account.,8
Where can I go to update my personal profile?,30
Make me understand why I am charged an extra fee when I use the ATM.,19
My card appears to be broken how can I fix it?,14
How do i set up auto top-up?,4
Is there a reason why there is an extra £1 charge on my account?,34
Is there a list of ATMs that take this card?,3
Will there be any fees for top ups?,57
What fiat currencies are supported for holding and exchange?,36
Do the disposable cards have restrictions?,29
I just got my card and cannot get it to work.,0
Do I get an actual card?,43
Where can I find an ATM to use this card?,3
I am travelling for two more weeks but really need to change my PIN asap. What do I do?,21
Can I get one of your cards in the EU,24
Do you take checks?,58
How much does top up fees cost?,57
Does it cost extra to exchange foreign currencies?,31
What is the maximum top up?,60
The $1.00 has still not been reverted as indicated in the previous email.,34
How do I make my top up complete?,47
Can both a Visa and Mastercard be received from you?,73
Is the exchange rate current?,32
I think I was charged a different exchange rate than what was posted at the time.,76
How many cards am I allowed?,39
How do I retrieve a trapped card from a ATM?,18
What do I do if my card expires soon?,9
Where can I activate my card?,0
I'm not okay with this fee on my statement.,34
My card isn't letting me purchase something and I wanted to know why.,7
Why has my payment not transferred?,35
"I was charged a fee when withdrawing cash, can you explain why?",19
"My account is blocked, how do I log in now",49
"I  have been charged more than I should for the presents I bought  when abroad, the problem seems to be the exchange rate.",17
How can I find out where the funds are flow?,70
What is the extra fee on my statement?,34
